loop_gain,proxy_mean_tail_residual_cfo,proxy_tail_within_threshold_fraction,half_sine_mean_tail_residual_cfo,half_sine_tail_within_threshold_fraction,half_sine_to_proxy_residual_ratio
0.0005,0.000076,1.000000,0.001157,1.000000,15.140280
0.0010,0.000153,1.000000,0.002311,1.000000,15.156253
0.0015,0.000228,1.000000,0.003464,1.000000,15.172303
0.0020,0.000304,1.000000,0.004614,1.000000,15.188430
0.0030,0.000454,1.000000,0.006908,1.000000,15.220909
0.0040,0.000603,1.000000,0.009194,1.000000,15.253685
0.0050,0.000750,1.000000,0.011471,1.000000,15.286752
0.0060,0.000897,1.000000,0.013741,1.000000,15.320103
0.0080,0.001186,1.000000,0.018256,1.000000,15.387636
0.0100,0.001471,1.000000,0.022741,1.000000,15.456243
0.0120,0.001752,1.000000,0.027196,1.000000,15.525886
0.0150,0.002164,1.000000,0.033827,1.000000,15.632216
0.0180,0.002566,1.000000,0.040398,1.000000,15.740686
0.0200,0.002829,1.000000,0.044746,1.000000,15.814131
0.0220,0.003088,1.000000,0.049069,0.625000,15.888438
0.0240,0.003343,1.000000,0.053369,0.250000,15.963567
