channel_spacing,proxy_mean_tail_residual_cfo,proxy_tail_within_threshold_fraction,half_sine_mean_tail_residual_cfo,half_sine_tail_within_threshold_fraction
0.80,0.036613,1.000000,0.106814,0.000000
0.81,0.038975,1.000000,0.107408,0.000000
0.82,0.036949,1.000000,0.105836,0.000000
0.83,0.037989,1.000000,0.105538,0.000000
0.84,0.038283,1.000000,0.105159,0.000000
0.85,0.037909,1.000000,0.103652,0.000000
0.86,0.038841,1.000000,0.104046,0.000000
0.87,0.039345,1.000000,0.104099,0.000000
0.88,0.038935,1.000000,0.104399,0.000000
0.89,0.037693,1.000000,0.102424,0.000000
0.90,0.038684,1.000000,0.102751,0.000000
0.91,0.037233,1.000000,0.101075,0.000000
0.92,0.037274,1.000000,0.101425,0.000000
0.93,0.039464,1.000000,0.102769,0.000000
0.94,0.037171,1.000000,0.100163,0.000000
0.95,0.036878,1.000000,0.099888,0.000000
0.96,0.036798,1.000000,0.099770,0.000000
0.97,0.035716,1.000000,0.098333,0.000000
0.98,0.036230,1.000000,0.098696,0.000000
0.99,0.036280,1.000000,0.097750,0.000000
1.00,0.038721,1.000000,0.099488,0.000000
1.01,0.035399,1.000000,0.095966,0.000000
1.02,0.035041,1.000000,0.095244,0.000000
1.03,0.034263,1.000000,0.094509,0.000000
1.04,0.031159,1.000000,0.091662,0.000000
1.05,0.032789,1.000000,0.092199,0.000000
1.06,0.029871,1.000000,0.089756,0.000000
1.07,0.028077,1.000000,0.088288,0.000000
1.08,0.026085,1.000000,0.086381,0.000000
1.09,0.024722,1.000000,0.085201,0.000000
1.10,0.022013,1.000000,0.082788,0.000000
1.11,0.020442,1.000000,0.080977,0.000000
1.12,0.017421,1.000000,0.077996,0.000000
1.13,0.016775,1.000000,0.076791,0.000000
1.14,0.013213,1.000000,0.073127,0.000000
1.15,0.012240,1.000000,0.071413,0.000000
1.16,0.011052,1.000000,0.068728,0.000000
1.17,0.009707,1.000000,0.065940,0.000000
1.18,0.007230,1.000000,0.062196,0.000000
1.19,0.006732,1.000000,0.059486,0.000000
1.20,0.005873,1.000000,0.056960,0.000000
1.21,0.004719,1.000000,0.053853,0.250000
1.22,0.004070,1.000000,0.050789,0.375000
1.23,0.003294,1.000000,0.047679,0.625000
1.24,0.002829,1.000000,0.044746,1.000000
1.25,0.002152,1.000000,0.041825,1.000000
1.26,0.001645,1.000000,0.038671,1.000000
1.27,0.001240,1.000000,0.035948,1.000000
1.28,0.000914,1.000000,0.032962,1.000000
1.29,0.000659,1.000000,0.030049,1.000000
1.30,0.000550,1.000000,0.027435,1.000000
1.31,0.000411,1.000000,0.024994,1.000000
1.32,0.000311,1.000000,0.022607,1.000000
1.33,0.000272,1.000000,0.020349,1.000000
1.34,0.000239,1.000000,0.018268,1.000000
1.35,0.000228,1.000000,0.016209,1.000000
1.36,0.000206,1.000000,0.014453,1.000000
1.37,0.000204,1.000000,0.012659,1.000000
1.38,0.000197,1.000000,0.011210,1.000000
1.39,0.000202,1.000000,0.009691,1.000000
1.40,0.000199,1.000000,0.008372,1.000000
1.41,0.000201,1.000000,0.007158,1.000000
1.42,0.000203,1.000000,0.006091,1.000000
1.43,0.000192,1.000000,0.005166,1.000000
1.44,0.000194,1.000000,0.004289,1.000000
1.45,0.000193,1.000000,0.003660,1.000000
1.46,0.000200,1.000000,0.003003,1.000000
1.47,0.000193,1.000000,0.002433,1.000000
1.48,0.000199,1.000000,0.002027,1.000000
1.49,0.000198,1.000000,0.001652,1.000000
1.50,0.000197,1.000000,0.001324,1.000000
1.51,0.000195,1.000000,0.001057,1.000000
1.52,0.000190,1.000000,0.000843,1.000000
1.53,0.000193,1.000000,0.000644,1.000000
1.54,0.000192,1.000000,0.000476,1.000000
1.55,0.000196,1.000000,0.000353,1.000000
1.56,0.000196,1.000000,0.000255,1.000000
1.57,0.000197,1.000000,0.000174,1.000000
1.58,0.000194,1.000000,0.000118,1.000000
1.59,0.000190,1.000000,0.000071,1.000000
1.60,0.000195,1.000000,0.000041,1.000000
1.61,0.000194,1.000000,0.000026,1.000000
1.62,0.000197,1.000000,0.000015,1.000000
1.63,0.000195,1.000000,0.000008,1.000000
1.64,0.000197,1.000000,0.000005,1.000000
1.65,0.000196,1.000000,0.000001,1.000000
